Saat/Gün,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Toplam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-01,GIRIS,0,0,80,80,0,80,80,0,80,80,0,80,80,0,0,80,0,80,0,0,0,80,0,0,0,0,80,80,40,0,80,"1,160"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-02,GIRIS,80,80,0,0,0,0,0,80,0,0,80,0,0,80,0,0,80,0,80,0,80,0,0,80,80,80,0,0,10,0,0,890
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-03,GIRIS,0,0,0,0,80,80,0,0,0,80,0,0,0,0,80,0,0,80,0,80,0,80,80,0,0,0,80,80,13,80,80,973
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03-04,GIRIS,0,80,80,80,0,0,80,0,80,0,0,80,80,0,0,80,0,0,80,0,80,0,0,80,0,80,0,0,80,0,0,"1,040"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04-05,GIRIS,80,0,0,0,80,0,0,80,0,80,80,0,0,80,80,0,80,80,0,80,0,80,80,0,80,0,0,80,0,80,80,"1,280"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-06,GIRIS,0,0,80,80,0,80,80,0,80,0,0,80,80,0,0,80,0,0,80,0,0,0,0,0,0,0,80,80,80,720,880,
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06-07,GIRIS,"2,000","1,360",80,"1,280","1,760","1,440","1,520","1,440","1,040","1,200","1,040",880,880,"1,520",320,"3,920","2,960","2,000","4,000","3,280","2,400","2,640","1,760","1,440","2,160","2,880","2,400","12,320","11,200","19,120","27,200","119,440"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07-08,GIRIS,"25,200","21,280","4,560","27,840","29,760","25,200","27,120","27,200","21,920","24,880","26,800","24,320","23,840",,"19,520","36,640","42,320","36,720","23,600","21,840","40,080","38,480","26,400","41,120","34,320","38,720","16,800","63,120","66,000","85,440","80,560","1,051,200"
,CIKIS,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08-09,GIRIS,"76,960",,"32,320","94,320","97,920","94,560","90,960","92,160","71,840","87,840","42,160","90,000","89,600",,"28,000","50,080","110,000","69,520","85,200","52,320","109,520","106,800","56,400","100,800","99,520","70,000","50,800","128,080","91,360","134,320","79,680","2,570,240"
